Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/24,ES31E2401197,"186,123,398",52
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/21,USSM12100531,"1,902,241,314","316,054"
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/23,QZ5FN2369288,"42,761",80
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/23,USUG12306691,"406,821,432","20,404"
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/22,TCAGM2208561,"665,716,137","97,057"
Glimpse of Us,Glimpse of Us,Joji,6/10/22,USWB12201789,"1,262,308,912","234,936"
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/19,USSM11912587,"2,708,151,499","298,135"
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/24,USA2P2414894,"172,164,034","5,517"
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/23,CH7811111177,"298,853,393","50,137"
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/23,QM6P42334528,"717,849,037","98,440"
Yandel 150,Yandel 150,Yandel,12/20/22,QMFMF2215173,"837,576,264","102,545"
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/21,USSM12105732,"1,062,095,453","165,197"
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/21,USSD12100202,"1,339,352,060","188,874"
Chemical,Chemical,Post Malone,4/14/23,USUM72305205,"503,574,147","79,679"
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/15,USAT21703595,"1,891,920,348","159,571"
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/18,USUG11801811,"1,486,929,795","266,128"
